i,ids,86224,62598,34010,63711,95532,47245,19525,41999,95480,16080,50052,41864,88694,61671,14823,24332,19782,82046,94127,91220,57880,82702,71015,31678,61406,36847,39856,19564,66657,48052,93306
0,'86224',3.943845754074573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.734375,3.703125,1.0,3.308544158935547,4.9637451171875,2.875,2.0,3.2734375,4.25,4.125,3.0,0.0,0,1.5,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0
1,'62598',0.0,4.1194567289203405,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.625,4.7734375,2.5,4.5,3.9984130859375,3.814453125,3.875,3.80859375,3.75,1.0,0.0,0.0,0,3.5,3.5,0.0,2.0,4.375,2.5,0.0,0.0,2.625
2,'34010',0.0,0.0,2.255487322807312,0.0,0.0,0.0,0.0,0.0,1.125,1.0,3.875,2.0,1.75,4.390625,1.9521484375,2.25,1.5,2.5,1.0,2.25,0.0,0,1.0,2.5,0.0,2.5,0.0,1.0,0.0,2.125,0.0
3,'63711',0.0,0.0,0.0,3.1163021475076675,0.0,0.0,0.0,0.0,1.125,2.0,2.0625,0.5,2.455078125,3.5078125,2.037109375,1.5,0.0,2.1875,2.0,1.625,0.0,0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,1.875,2.0
4,'95532',0.0,0.0,0.0,0.0,3.760509490966797,0.0,0.0,0.0,2.75,1.5,4.0,2.5,3.875,4.78515625,2.5625,2.75,2.5,3.75,1.5,2.0,0.0,0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,1.5,0.0
5,'47245',0.0,0.0,0.0,0.0,0.0,3.0678566694259644,0.0,0.0,0.5,2.0,2.625,3.0,2.94140625,2.5,1.183837890625,0.5,0.0,2.75,1.125,1.3125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,'19525',0.0,0.0,0.0,0.0,0.0,0.0,1.393035888671875,0.0,0.75,1.375,2.5625,0.0,0.75,1.2421875,3.53125,1.0,0.75,1.9375,0.875,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
7,'41999',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5771484375,0.0,1.25,2.25,0.0,0.875,1.71875,2.25,2.5,0.75,0.5,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0
8,'95480',2.75,3.0,1.125,1.125,2.75,0.5,0.75,0.0,3.0308003099635243,0.0,0.0,0.0,1.703125,3.640625,1.61004638671875,3.0,3.125,2.0,1.5,0.5,2.75,0,0.0,2.0,0.0,1.25,2.5,0.5,0.0,0.5,2.5
